Date,Country,Nature of Food Insecurity,Main Reasons,Changes from Last Report
02-2009,105,5,Localized insecurity,119
02-2009,40764,5,"Civil strife (Darfur), Insecurity (Southern Sudan), localized crop failure",121
02-2009,253,5,"Localized crop failure, insecurity",121
02-2009,118,3,Conflict and insufficient rainfall,121
02-2009,1,4,"Conflict and insecurity, inadequate rainfall",119
02-2009,67,4,Economic constraints,119
02-2009,23,5,Past floods and cyclone,120
02-2009,117,5,Past drought,119
02-2009,175,5,Poor market access and drought/floods,120
02-2009,171,5,Past cyclone,119
02-2009,231,5,Conflict,119
02-2009,239,5,"Winter crop damage, poor market access, locusts",121
02-2009,242,5,IDPs,119
02-2009,63,5,Past floods and other hurricane damage,120
02-2009,108,5,Past floods and other hurricane damage,120
03-2009,142,3,"Low productivity, HIV/AIDS pandemic",121
03-2009,235,3,"Low productivity, HIV/AIDS pandemic",121
03-2009,226,3,"Conflict, economic crisis, adverse weather",121
03-2009,133,3,"Civil strife, adverse weather, pests",121
03-2009,271,3,Deepening economic crisis,121
03-2009,77,4,"IDPs, economic constraints",119
03-2009,144,4,"War related damage, pests",121
03-2009,159,4,Several years of drought,119
03-2009,221,4,War related damage,119
03-2009,43,5,"Civil strife, IDPs and returnees",119
03-2009,49,5,"Refugees, insecurity in parts",119
03-2009,50,5,"Refugees, conflict",119
03-2009,59,5,IDPs,119
03-2009,66,5,Conflict related damage,119
03-2009,68,5,"Civil strife, returnees",119
03-2009,79,5,"Insecurity in parts, localized crop failure",121
03-2009,106,5,"Refugees, conflict",119
03-2009,105,5,Localized insecurity,119
03-2009,40764,5,"Civil strife (Darfur), Insecurity (Southern Sudan), localized crop failure",121
03-2009,253,5,"Localized crop failure, insecurity",121
03-2009,118,3,Conflict and insufficient rainfall,121
03-2009,1,4,"Conflict and insecurity, inadequate rainfall",119
03-2009,67,4,Economic constraints,119
03-2009,23,5,Past floods and cyclone,120
03-2009,117,5,Past drought,119
03-2009,175,5,Poor market access and drought/floods,120
03-2009,171,5,Past cyclone,119
03-2009,231,5,Conflict,119
03-2009,239,5,"Winter crop damage, poor market access, locusts",121
03-2009,242,5,IDPs,119
03-2009,63,5,Past floods and other hurricane damage,120
03-2009,108,5,Past floods and other hurricane damage,122
